Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0008648","1","NAM YANG 8 (IMO 7913385)","NAM YANG 8: Unknown/unspecified","PRK","2010-01-01 03:00","Serious","184800N 1210200E","Philippines","0","0","Capsizing / listing","On 1 October 2010 at 0300 hrs in heavy weather conditions, the cargo ship NAM YANG 8 developed list to port after cargo shifted in heavy seas 11 miles off Lacaylacy Point, Claveria, Philippines.  The ship sustained engine failure, drifted ashore and was stranded at Barangay Balaoi, Pagudpud, Philippines.  The hull was holed in several places  causing an oil leakage into the sea of 6,000 litres.  All 22 crew members abandoned ship to liferafts and reached the shore at Barangay Taggat, Claveria at 0630 hrs.  One crew member was injured and taken to hospital.  Demolition of the ship started in June 2010.   ","General Cargo Ship","Pollution,Ship rendered unfit to proceed","3537","","5639","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0008004","1","TOLIROVA (IMO 7362768)","TOLIROVA: Unknown/unspecified","PAN","2010-01-01 01:20","Very serious","215680S 0932580W","OPEN SEA","1","0","Capsizing / listing","El día 01 de Enero del 2010, a las 11:00 hrs. LT aproximadamente, según declaración del Capitán, se le informo la existencia de una entrada de agua a la bodega Nº 2, el Jefe de Maquinas coloca una bomba de achique en la bodega Nº 2, al mismo tiempo se forma una brigada de emergencia para ubicar la vía de agua y realizar la evaluación de daños, la bodega se encuentra llena de pescado y carnada, a las 11:50 hrs LT aproximadamente el nivel de agua en la bodega Nº 2 estaba al menos al nivel de 1,5 mts por lo que se introdujo una bomba de achique sumergible, el capitán da la orden de tirar a la mar la carnada existente en la bodega y se continua la búsqueda de la via de agua, a las 21:40 LT aproximadamente suena la alarma de la sentina y se pone en funcionamiento la respectiva bomba de achique.

A las 21:55 después de una reunión con el primer oficial y el jefe de maquinas, al ver la imposibilidad de controlar la vía de agua y que por este motivo peligraba la vida de la tripulación, el Capitán da la orden que la tripulación acuda al punto de reunión con chalecos salvavidas, ropa adecuada y trajes de inmersión.

Siendo las 22:05 hrs. LT, el Capitán realiza la llamada de socorro por radio a los buques que se encuentran cercanos a ellos, y el siguiente buque respondió a la llamada de socorro:

•	B/P PLAYA MUIÑO VELLO

Siendo las 22:15 hrs. LT se lanzan por el costado de babor el bote de rescate y dos balsas salvavidas, el Capitan le da la orden al Primer Oficial que lleve al punto de reunión VHF portátiles, radio balizas, señales pirotécnicas y aros salvavidas, las balsas y el bote de rescate se arrean al costado de estribor, el Jefe de Maquinas cierra las válvulas de combustible.

Siendo las 22:40 LT el Capitan da la orden de abandono del buque y a las 00:10 LT llega el buque PLAYA MUIÑO VELLO acude al rescate, procediéndose el mismo sin ningún tipo de inconveniente y con toda la tripulación en perfecto estado.

Siendo las 01:20 hrs. LT el Capitán informo que estando toda la tripulación a bordo del PLAYA MUIÑO VELLO, se pudo observar el hundimiento completo del TOLIROVA, luego fueron trasladados al Puerto del Callao, Perú
","FISHING","Total loss of the ship","782","Bureau Veritas (BV)","","","20","","","","","","","","","2010-12-27",""
"C0007750","1","HUMEN BRIDGE (IMO 9302164)","HUMEN BRIDGE: SOLAS","PAN","2009-12-29 21:00","Very serious","242570N 1180348E","China coastal","0","0","Collision"," At 2100hrs on 29th Dec, 2009. The Panama registered container vessel ""HUMEN BRIDGE"" collided with China flag general cargo vessel HAI AN 579 at China coastal water.  As a result, the accident make the vessel HAI AN 579 sunk and 3 crew are dead.","CONTAINER SHIP","Ship remains fit to proceed","98747","Nippon Kaiji Kyokai (NKK)","99214","GENERAL CARGO IN CONTAINER","20","","","3","","","","","","",""
"C0008053","1","MONIQUE 1 (IMO 7911686)","MONIQUE 1: SOLAS","PAN","2009-12-27 06:25","Less serious"," ","Berth No.18, Mina Zayed Port, Abu Dhabi","1","0","Fire or explosion","M. V. Monique 1 loaded with Direct reduced iron cargo from Qatar, arrived at Abu- Dhabi Terminals on December 25th and commenced discharging cargo at 2105. During the afternoon of December 26th at 1210 hrs there was an unexpected rain while the vessel was discharging cargo from all four holds. As the ship’s crew was unable to close all the hatches immediately except No.1 hold, water entered into other three holds. At 1510 hrs it was noticed that the temperature in holds No. 2, 3 and 4 increased upto 80 C. There was a continuous increase of temperature in hold no.3 and on 27th December at 0625 hrs fire was seen in hold no.3. At 0635 hrs Fire Brigade boarded the vessel and holds were flooded with fresh water by fire fighters and by 0645 hrs fire was under control but the temperature was high. Later cargo discharging continued. On 28th cargo discharging continued with frequent stoppages during rain. Temperature of holds 2, 3 and 4 found to be 250 degrees to 420 degrees centigrade. Flooding of holds were done as the temperature increased and discharging was continued as the cargo temperature lowered. On 30th noon vessel developed port list of 12 degrees.  Later in the after noon a barge arrived and water from the holds was pumped out in to the barge and the vessel was reported out of danger from 1st January onwards and completed discharging for the port by 5 January 2010.","GENERAL CARGO","Ship remains fit to proceed","11867","Phoenix Register of Shipping S.A. (PHRS)","16031","","26","","","","","","","","","2011-03-03",""
"C0007735","1","UNION PEARL (IMO 8903026)","UNION PEARL: Unknown/unspecified","IMN","2009-12-26 23:59","Very serious"," ","Wicklow Harbour, Eire","1","0","Accidental Fall","The Union Pearl was berthed alongside in Wicklow Harbour on 26 December 2009. At around midnight on the 26th December the Cook and the Chief Officer returned to the vessel. The Cook fell between the vessel and the quayside whilst trying to board the ship near the gangway. The gangway was correctly rigged at the time of the accident. The Cook was recovered from the harbour by the crew and emergency services and pronouced dead by a Doctor on scene.

It was not known whether the Cook was under the influence of alcohol at the time. He was taking medication for diabetes which was later found amongst his personal effects. A coroners enquiry and post mortem results are awaited.","GENERAL CARGO","Loss of life","2236","Germanischer Lloyd (GL)","3774","","8","","","","","","","","","2015-09-17",""
"C0007700","1","GRAND ESMERALDA (IMO 8920062)","GRAND ESMERALDA: SOLAS","LBR","2009-12-26 02:00","Less serious","460029N 1225046W","Columbia River, near Kalama, USA","0","0","Stranding / grounding","While at sea from Kalama, USA to Xiuya, China, in laden condition, the GRAND ESMERALDA encountered heavy weather right after departure and suspected grounding occured. After the weather's improvement, the crew preformed soundings of the empty ballast tanks, where they noted a slight ingress in two of the double bottom tanks. Incident was reported to the company and the flag state. ","BULK CARRIER","Ship remains fit to proceed","36725","Bureau Veritas (BV)","69458","Dry bulk","23","","","0","0","0","0","0","0","",""
"C0007754","1","COTAI STRIP COTAIGOLD (IMO 9429704)","COTAI STRIP COTAIGOLD: Unknown/unspecified","HKG","2009-12-25 09:18","Less serious"," ","PEARL RIVER, CHINA","0","0","Collision","1.HIGH SPEED CATAMARAN CATAI STRIP COTAIGOLD DEPARTD FROM HK WITH 10 CREW AND 380 PASSENGERS ONBOARD AND BOUND FOR MACAU AT 0836LT ON 25 DEC 2009, COLLIDED WITH A WOODEN FISHING BOAT AT 0918LT SAMEDAY WHILE SHE IS NAVGATING IN THE PEARL RIVER ESTUARY WITH SPEED AROUND 22 KNOTS.
2.THE CAUSE MAY THE CAPTAIN AND RADAR OBSERVER NEGLECTED THE FISHING BOAT IN THE DENSE FOG WHEN THE HSC ALTER HER COURSE TO PORTSIDE TO AVOID THE OTHER FISHING BOAT ON HER STARBOARD BOW.
3.THE FISHING BOAT SUNK AFTER COLLISION, ALL CREW WAS TRANSFERED TO FISHING BOAT NEARBY.
4.HSC REMAINS FIT TO PROCEED,NO PASSENGERS AND CREW INJUERD.
","Passenger  ship","Ship remains fit to proceed","700","","84","","10","380","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0007601","1","AEGEAN WIND (IMO 8130746)","AEGEAN WIND: SOLAS","GRC","2009-12-25 02:05","Very serious","122650N 0643704E","VENEZUELA SRR ","0","0","Fire or explosion","25 Dec 2009. At O710 hrs UTC GRMCC/Piraeus received an Epirb 406 Mhz distress call from M/V Aegean Wind,  31nm West of La Blanquilla Isle - Venezuella, on her sailing from port  PONTA UBU - (Brsazil) to Houston (USA), loaded with 37.773 MT of iron ore, with a crew of 24 ( 9 Greeks and 15 Philippinos seamen). Mentioned Vessel was on accomodation  fire. 
JRCC Piraeus, as first RCC broadcasted Seatrep msg to all ships informing MRCC La Guaira - Venezuela, as the resposnible RCC. Finally 9 crew members were airlifted to the Army hospital of Margarita Isle. Rest of the crew remained on board tried to extinquish the fire whereas 9 seamen were missing (three Greeks and six Philippinos). Due to heavy smoke in the enclosed spaces missing persons were located dead late hours on the same day by a crew squad.
Fire was extinquished by crew at late hours on the same. Vessel was towed to Curacao port - Antilles.
A safety Investigation started on the 28th of December by the  Department of Marine Accidents and is still being conducted.





  ","BULK CARRIER","Loss of life,Ship rendered unfit to proceed","23646","American Bureau of Shipping (ABS)","37302","iron ore","24","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0008051","2","ANATALIA DR (-), CATALYN B (-)","ANATALIA DR: Unknown/unspecified, CATALYN B: Unknown/unspecified","PHL","2009-12-24 00:00","Very serious","141524N 1203238E","Vicinity of Limbones Island, Philippines","1","1","Collision","In this case that was heard by this Special Board of Marine Inquiry (maybe referred to as “Board“ in the text), M/V Catalyn B, a laden 1987-built wooden 126-capacity passenger vessel of 79.49 gross tons owned by San Nicholas Lines, Inc., departed Isla Puting Bato, Manila at 9 pm of 23 December 2009 enroute to her port of call in Tilik, Lubang, Mindoro. While passing abeam San Nicolas Light, she reported to VTMS Corregidor her entry to the start of the northern lane of the Corregidor South Channel in going out of Manila Bay, as required under the rules of passage in the Traffic Separation Scheme (TSS) of the Philippine Ports Authority (PPA) and the Ships' Routeing regulation of the Philippine Coast Guard (PCG). In navigating southwesterly out of Manila Bay along the northern lane of the South Channel, she has to pass south of Corregidor Island and further navigate in a southwesterly direction to reach her destination in Tilik to disembark her 63 passengers who will spend the night before Christmas (“noche buena“) with their families. F/V Anatalia DR, a 1972-built 369.28 gross tons steel-hulled fishing vessel owned by Philmariner Aqua Ventures Corp., on the other hand, has last come from a port in Puerto Princesa City, Palawan enroute to the fishing grounds in the southern part of the country to load fish into her cargo hatches from her company's smaller vessel catchers in the fishing grounds, and to later transport the fishcatch cargo to Navotas Fishport inside Manila Bay. She, therefore, has to go up and enter Manila Bay passing through Corregidor South Channel enroute to Navotas Fishport. Under the rules of passage, she has to pass through the southern lane of the Corregidor South Channel. 
The ships' routing regulation provides that foreign vessels entering Manila Bay shall pass through the southern lane of the Corregidor North Channel while foreign vessels exiting the bay shall pass through the northern lane of the Corregidor North Channel. On the other hand, the Corregidor South Channel is intended for the use of domestic vessels with those entering Manila Bay passing through the southern lane and those exiting the bay passing through the northern lane which was the lane traversed rightly by M/V Catalyn B and traversed in counterflow by F/V Anatalia DR. 
The Master of M/V Catalyn B, Tony Faminia, stated during the hearing that his vessel was on course 215 degrees and speed of 8.3 knots (nautical miles per hour) while going southwesterly along the northern lane of the Corregidor South Channel TSS and has altered his course to 220 degrees which was his next waypoint intending to leave the traffic lane and to proceed headed for Tilik prior to the collision. Immediately prior to the collision, M/V Catalyn B maneuvered hard to starboard to avoid F/V Anatalia DR that continued crossing her bow. The collision occurred while both vessels were still inside the outbound lane. The Master of F/V Anatalia, during the hearing, stated that he has come from a course of 048 degrees coming from Cape Calavite and upon reaching Golo Light, has changed his course to 009 degrees which was his next way point up, intending to change course again after passing abeam Limbones Island enroute to Navotas Fishport disregarding the TSS. F/V Anatalia did not have the appropriate NAMRIA Chart No. 4255 on Manila Bay and its approaches where the TSS is clearly indicated. She has traversed through the northern lane (outbound) of the Corregidor South Channel of the TSS, thus sailing upward on a counterflow towards the path of M/V Catalyn B that was on her starboard side and which was then navigating southwesterly at the northern lane and intending to leave the traffic lane headed for Tilik while on course 220 degrees. With the vessels' track and site of the collision derived from the records provided by the VTMS Center of the Philippine Ports Authority (PPA), it was established that the two vessels had a prior crossing situation, making the F/V Anatalia DR as the give-way vessel and the M/V Catalyn B as the stand-on vessel. M/V Catalyn B was clearly coming from Manila Bay and necessarily, was moving southwesterly in proceeding to her destination in Tilik, Lubang, Mindoro following her usual route. F/V Anatalia DR, on the other hand, was clearly coming from the south and was going up and was the vessel on the port side of M/V Catalyn B. Crossing situation, however, cannot be assumed unless both vessels are in sight of one another. Considering their vessels' lengths in the vessel certificates issued by the Maritime Industry Authority (MARINA) of both being less than 50 meters, their vessel side lights should have a visibility of two (2) nautical miles and the masthead lights of five (5) nautical miles. Visibility in the accident area during the incident was about three (3) nautical miles with good weather and generally calm sea. 
","Fish Catching Vessel","","369.28","","","","12","","","","32","1","","","","2011-03-03","2012-04-25"
"C0007549","1","MAERSK DELFT (IMO 9293088)","MAERSK DELFT: Unknown/unspecified","GBR","2009-12-21 03:15","Unspecified","510500N 0021800E","Dunkerque","0","0","Machinery damage","Maersk Delft, a Ro-Ro ferry had left a Dunkerque port for her routine cross-channel passage to Dover on 21st December 2009.  As the vessel left the harbour limits the engines were set to ""full away"" and the crew set about reconfiguring the 440 volt switchboard.  No1 generator was started and as the supply breaker was about to be closed, it self closed out of phase.  This caused Nos 2 and 3 generator supply breakers to open, resulting in a blackout situation.  The emergency generator started automatically and restored the expected limited electrical supplies.

The chief engineer, who had recently joined the vessel, set about trying to locate the electrical fault which had caused the blackout.  In the meantime the main engine temperatures started to increase above the normal running temperature of 90 deg C because the main electrically driven sea water cooling pumps had stopped as these were not supplied from the emergency generator.  The engine temperatures continued to increase and at 95 deg C the engine control system automatically reduced the engine power in an attempt to lower the temperatures.  However, the engines very quickly reached the upper temperature limit of 98 deg C at which time the control system stopped the engine, as designed, to prevent the risk of damage due to overheating.

As propulsive power was lost, the master allowed the vessel to come to a stop in open water, at which time the anchor was dropped.

Within 7 minutes of the blackout the faulty supply breaker from No1 generator was racked out and Nos 2 and 3 generators started and connected to the distribution system restoring electrical supplies.  The engines were restarted and the vessel resumed her passage.  On arrival the faulty breaker was removed and replaced with a fleet spare.  No 1 generator and supply breaker were tested and proven to work satisfactorily.

The vessel is due in dry dock during mid January 2010 at which time the faulty breaker will be inspected and overhauled by the original equipment manufacturer.
","[Primary Annex 1 not designated]","[Primary Annex 1 not designated]","[Primary Annex 1 not designated]","[Primary Annex 1 not designated]","[Primary Annex 1 not designated]","[Primary Annex 1 not designated]","[Primary Annex 1 not designated]","[Primary Annex 1 not designated]","[Primary Annex 1 not designated]","0","0","0","0","0","0","",""
