Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0000960","1","EXCELSIOR NEPTUNE (-)","EXCELSIOR NEPTUNE: Unknown/unspecified","HND","1993-01-01 00:00","Unspecified"," ","","0","0","","","Passenger Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000959","1","EXCELSIOR NEPTUNE (-)","EXCELSIOR NEPTUNE: Unknown/unspecified","CHN","1993-01-01 00:00","Unspecified"," ","","0","0","","","Passenger Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0007334","1","TITAN (-)","TITAN: Unknown/unspecified","","1992-12-25 22:50","Very serious","305250S 1531550E","Off Smoky Cape, NSW","1","0","Capsizing and subsequent sinking","The crane barge Titan, under tow by the former research ship Rapuhia, left Sydney at 17:00 hours, on 22 December 1992, bound for Singapore. Titan was unmanned. 
The tow progressed slowly northwards off the eastern Australian coast line. Throughout 23,24 and 25 December, the tow experienced strong head winds and sea from the north or north-east, and a strong counter current. 
By 22:00 hours on 25 December, the tow was making good a speed over the ground of about 1 knot, into a head wind of about 26 knots. At about 22:50 hours, those on Rapuhia felt a pronounced jerk and a seaman reported the towing line had parted. No trace could be seen of Titan's riding lights, nor could the barge be seen silhouetted against the sky. Rapuhia was immediately slowed and turned to relocate the tow. A target was seen on the radar and a subsequent sweep by Rapuhia's searchlight showed the barge, floating bottom up. A general call was put out to shipping and the capsize reported to the Australian Maritime Rescue Coordination Centre, Canberra. The ship's principal in Singapore was also told. On 27 December, divers and people acting on behalf of the owner boarded Rapuhia to assess the damage. The emergency towing bridle was secured to Rapuhia. 
It was found that the crane assembly, including the jib and crane tower had fallen off the central lattice work mast. The central mast was bent towards Titan's bow and the slew ring, upon which the crane rotated, was resting at an angle against the central mast. 
The upturned barge was towed to a position off Camden Head, out of the strong south-going current to allow work to be undertaken on the upturned hull. 
After assessing the situation over a number of days, it was decided that the barge could not be salvaged. The only alternative was to sink it in a controlled manner. 
Work to prepare the barge for sinking was carried out off Camden Head. The barge sank at about 21:00 hours on 29 December.
","Crane Barge","Total loss of the ship","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-06-04",""
"C0000958","1","DUVAL 2 (-)","DUVAL 2: Unknown/unspecified","USA","1992-12-22 00:00","Unspecified"," ","","0","0","","","Other Ships Structures","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000957","1","SINDIBAD I (-)","SINDIBAD I: Unknown/unspecified","PAN","1992-12-20 00:00","Unspecified"," ","","0","0","","","Passenger / Ro-Ro Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000956","1","SIAU (-)","SIAU: Unknown/unspecified","PAN","1992-12-18 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000955","1","ALMIRANTE ALVARO ALBERTO (-)","ALMIRANTE ALVARO ALBERTO: Unknown/unspecified","BRA","1992-12-17 00:00","Unspecified"," ","","0","0","","","Research Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000954","1","FROTANORTE (-)","FROTANORTE: Unknown/unspecified","BRA","1992-12-11 00:00","Unspecified"," ","","0","0","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000953","1","TIMAC (-)","TIMAC: Unknown/unspecified","FRA","1992-12-09 00:00","Unspecified"," ","","0","0","","","Dredger","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000952","1","FORT KENT (-)","FORT KENT: Unknown/unspecified","CAN","1992-12-07 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000951","1","ZEUSPLEIN (-)","ZEUSPLEIN: Unknown/unspecified","VUT","1992-12-04 00:00","Unspecified"," ","","0","1","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0000950","1","CHUNG HO (-)","CHUNG HO: Unknown/unspecified","PAN","1992-12-04 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0002574","2","FAR EAST                       (IMO 8102086), RONDA LENE (-)","FAR EAST                      : Unknown/unspecified, RONDA LENE: Unknown/unspecified","AUS,BHS","1992-12-03 02:44","Less serious"," ","Middle Reef - Great Barrier Reef","1","1","Collision","Collision - ship remained seaworthy","Fish Catching Vessel","","","","","","","","","0","0","0","0","0","0","2011-11-30","2005-05-23"
"C0000949","1","AEGEAN SEA (-)","AEGEAN SEA: Unknown/unspecified","GRC","1992-12-03 00:00","Unspecified"," ","","0","1","","","Bulk Dry / Oil Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0007315","1","WYUNA (-)","WYUNA: Unknown/unspecified","","1992-12-01 02:44","Serious"," ","Off North-West Flinders Island","1","0","Contact","On 1 December 1992, while engaged in a navigational training exercise off the north-west Coast of Flinders Island, Bass Strait, the Australian Maritime College training ship Wyuna struck a submerged object while navigating the passage between North and Mid Pasco Islands.
The Wyuna sustained damage to bottom plating and internal structure, which resulted in diesel fuel oil and sea water flooding the engine-room bilge.
There were no injuries caused by the incident, but diesel oil was pumped overboard from the engine-room bilge. After the situation was stabilised, the Wyuna was able to return to its base at Beauty Point.
","","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-05-26",""
"C0000948","1","MADONNA (-)","MADONNA: Unknown/unspecified","PAN","1992-11-27 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000947","1","INDIANA (-)","INDIANA: Unknown/unspecified","BHS","1992-11-27 00:00","Unspecified"," ","","1","1","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2010-06-08","2005-05-23"
"C0000946","1","VISHWA AMBAR (-)","VISHWA AMBAR: Unknown/unspecified","IND","1992-11-26 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000945","1","FROTA HUMAITA (-)","FROTA HUMAITA: Unknown/unspecified","BRA","1992-11-26 00:00","Unspecified"," ","","0","1","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0000944","1","GEORGIA K (-)","GEORGIA K: Unknown/unspecified","HND","1992-11-26 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000943","1","ATLANTIC TRADER (-)","ATLANTIC TRADER: Unknown/unspecified","USA","1992-11-25 07:00","Serious","185300N 0663300W","Atlantic Ocean","0","0","Capsizing / listing","On 21 November 1992, while en route from New Jersey to Puerto Rico under tow by the tug  McAllister Sisters, the tow line barge Atlantic trader parted setting the barge adrift. An emergency tow line was rigged and the voyage continued. Apparent cargo shifting caused the barge to develop a part list over the following four day period.

On 25 November, the barge capsized but remained afloat.
","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000942","1","KOMMUNIST (-)","KOMMUNIST: Unknown/unspecified","RUS","1992-11-24 00:00","Unspecified"," ","","0","0","","","Fish Factory Ship / Fish Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000941","1","CHARM (-)","CHARM: Unknown/unspecified","XDA","1992-11-24 00:00","Unspecified"," ","","0","1","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0007283","1","PIERRE LD (-)","PIERRE LD: Unknown/unspecified","FRA","1992-11-21 20:50","Serious"," ","Dampier","1","0","Grounding","Pierre LD, a bulk carrier of 165,239 tonnes deadweight, registered in French Antarctic Territory, sailed from the Western Australian port of Dampier on 21 November 1992 with a full cargo of iron ore. While transiting the departure channel, the ship suffered a major electrical failure together with a failure of the emergency steering system. The ship veered out of the departure channel and grounded to the east of East Malus Island. 
The ship remained fast aground for 48 hours and suffered damage to bottom plating, including being holed in four places. Temporary repairs were carried out at anchorage off Dampier, and the ship was permitted to sail to Fos sur Mer, France on 19 December, accompanied by the escort ship Pacific Taipan.
","Bulk Carrier","Ship rendered unfit to proceed","91642","Bureau Veritas (BV)","","","18","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-05-11",""
"C0000940","1","CEMMO (-)","CEMMO: Unknown/unspecified","MLT","1992-11-17 00:00","Unspecified"," ","","0","0","","","Other Bulk Dry (cement, woodchips, urea and other specialized) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000939","1","BYBLOS (-)","BYBLOS: Unknown/unspecified","HND","1992-11-17 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000938","1","SOFRANO (-)","SOFRANO: Unknown/unspecified","MLT","1992-11-14 00:00","Unspecified"," ","","0","1","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","","2005-05-23"
"C0000937","1","CALAO REEFER (-)","CALAO REEFER: Unknown/unspecified","PAN","1992-11-11 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000936","1","PEGASUS (-)","PEGASUS: Unknown/unspecified","PAN","1992-11-09 00:00","Unspecified"," ","","0","0","","","Bulk Dry (general, ore) Carrier","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
