Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
C0013053,1,SERVET ANA (IMO 9443774),SERVET ANA: SOLAS,TUR,10/4/20 0:00,Very serious,052812N 0095500W,Off the Liberian coast,0,0,Accidents with life-saving appliances,"During transferring of crewmembers from M/V SERVET ANA to M/V BAKU, the rescue boat which belongs to SERVET ANA capsized and one crewmember in the rescue boat lost his life due to the accident. Afterwards, during launching rescue operations one of the crewmembers from SERVET ANA fell down freefall station to the popedeck and was injured seriously.",Bulk Carrier,"Loss of life,Serious injuries",19999,,30124,,22,0,0,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],,
C0013127,1,RIO DE LA PLATA (IMO 9357951),RIO DE LA PLATA: SOLAS,SGP,9/16/20 10:30,Serious, ,Port of Timaru,0,0,serious injury to crew,Crew member attending mooring winch during departure operations was caught in the winch and received serious injury to arm and face.,Container Ship (Fully Cellular),Serious injuries,73899,,80454,,,,,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],,
C0013019,1,CHANG SHUN I (IMO 8976841),CHANG SHUN I: SOLAS,PAN,9/12/20 2:27,Very serious, ,"Mitsushima Island, North end of Tsushima City, Nagasaki Prefecture, Japan",0,0,Stranding / grounding,"CHANG SHUN I was not under command due to an engine failure, and grounded on Mitsushima Island, North end of Tsushima City.",Refrigerated Cargo Ship,Total loss of the ship,1467,Panama Shipping Registrar Inc. (PSR),1630,,14,0,0,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],,
C0013149,1,SAGAFJORD (IMO 7943079),SAGAFJORD: Unknown/unspecified,DNK,9/5/20 1:00,Serious,554025N 0120425E,Port,1,0,Stranding / grounding,"I forbindelse med eftermiddagssejlads (kaffeturen) grundstdte SAGAFJORD umiddelbart syd for Veddelev havn p en grund der kaldes for Kirkegrunden. Skibet var planlagt at skulle foretage et bagbord drej men gjorde ikke dette tids nok, hvilket resulterede i grundstdningen. Skibet havde 66 passagere med haeraf 3 brn. disse blev alle evakueret med hjlp fra det lokale beredskab der sejlede disse til Veddelev Havn,umiddelbart nord for grundstdningspunktet. Skibet blev den efterflgende dag 06092020 trukket fri med hjlp fra lastskibet/ stenfisker Henry. Der var ikke nogen vandindtrngning og skibet bevarede sin integritet under frem til det i gen var langs kaj og fik foretaget dykkerundersgelse. Dykkerundersgelsen viste ikke nogen skader men blot malingsafskrabningen p klen.",Passenger Ship,,305,,,,,0,,0,0,0,0,0,0,2/5/21,
C0013010,1,NEW DIAMOND (IMO 9191424),NEW DIAMOND: Unknown/unspecified,PAN,9/3/20 0:00,Very serious, ,40 nm off the coast of eastern Sri Lanka ,0,0,Fire and pollution,"A fire broke on board VLCC New Diamond after an explosion in the engine room, in Bay of Bengal some 40 nm east of southeast Sri Lanka coast.  One crew member died. The ship is carrying more than 278 000. of crude oil. Oil spill has started following the fire. ",Crude Oil Tanker,Loss of life,160079,,299986,,,,,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],,
C0013008,1,GULF LIVESTOCK 1 (IMO 9262883),GULF LIVESTOCK 1: SOLAS,PAN,9/2/20 1:45,Very serious, ,East China Sea  off the coast of southwest Japan,0,0,"Engine failure, capsizing and sinking","On Tuesday, 2 September 2020, a livestock carrier Gulf Livestock 1 issued distress signal at 01:45 hes (Tokyo time) in East China sea, approximately 100NM west of Amami-Oshima Island in Kagoshima Prefecture, southwestern Japan. The ship with 43 crew on board was en route from New Zealand to China, carrying 5,800 head of cattle aboard, went missing while traveling in the stormy East China Sea, with one crew member later rescued.",Livestock Carrier,"Loss of life,Total loss of the ship",11947,,8372,,43,,,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],,
C0013056,1,Helvetia (IMO 8128858),Helvetia: Unknown/unspecified,XVA,7/26/20 0:00,Very serious, ,"koko port, Delta state, Nigeria",0,0,Missing: assumed lost,"A seafarer working as a trainee wiper in the onboard  MV Helvetia has been found missing from the ship on 26.07.2020. It happened when the vessel was sailing from Douala , Cameroon to Koko Nigeria on 26.07.2020.

The body has been  found few days later. ",General Cargo Ship,Loss of life,2318,,,,,,,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],,
C0012997,1,Wakashio (-),Wakashio: SOLAS,PAN,7/25/20 0:00,Very serious, ,Off Mauritius,1,0,Stranding / grounding,"The Panamanian-flagged bulk carrier Wakashio  carrying 4,000 tonnes of fuel oil, was heading from China to Brazil when she ran aground on a reef off Mauritius on 25 July 2020. More than 1,000 tonnes of fuel has seeped from the bulk carrier from a crack in the hull. 
",Bulk Carrier,Ship rendered unfit to proceed,101932,,,,,,,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],7/21/21,
C0013005,2,"MATRIX PRIDE (IMO 9228796), MATRIX TRIUMPH (IMO 9251286)","MATRIX PRIDE: SOLAS, MATRIX TRIUMPH: Unknown/unspecified",NGA,7/6/20 15:45,Very serious,052404N 0050444E,ESCRAVOUS OFFSHORE,0,0,Crew fatality and personnel injuries,"MT Matrix Pride completed discharge operation on 4 July 2020 and was scheduled for STS operation with MT Matrix Triumph. Matrix triumph (Mother vessel)was loaded with about 30000MT of PMS ( draft of 9.2m) and needed to be lightened up to pass safely through the Escravous Channel to Matrix Jetty Warri, (Max draft 6.4m).  MT Matrix Pride embarked the Mooring Master (Person in Overall Advisory Control) in Escravous on 5 July 2020 at about 1554hrs and recieved fenders at 1800hrs the same day. On 6th July the two vessels commenced approach at about 1518hrs. A mooring plan was reached verbally by the three parties (Masters of the two vessels and the Mooring Master) to pass four headlines, four stern lines and two spring lines forward and aft.  The ""first line"" (two Headlines) were passed at 1524hrs. Eventually,  the aft station completed their four stern lines. While the forward station was passing their remaining two head lines, the Messenger line of the Mother Vessel got fouled in her anchor flukes. The Chief Officer lowered the anchor to the water level in order to clear the lines but this was taking too long ( about 20mins from the time of ""first line""). Considering the delay, the mooring Master advised the daughter vessel to pass her spring lines to the Mother vessel. While the operation was in progress, a sudden tension on the stern lines lead to the parting of 2 lines. Two Crew Members were seriously injured.   The affected crew, the Ordinary Sea Man  and the Mess Man were disembarked from the ship and taken to the hospital where the Mess Man was pronounced dead while the Os is responding well to treatment.",Chemical/Products Tanker,"Loss of life,Serious injuries",24997,RINA Services S.p.A (RINA),40113,PMS,25,,,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],,
C0013004,1,G DONA I (IMO 8619285),G DONA I: SOLAS,TGO,6/6/20 10:45,Serious, ,Togo,1,0,Fire or explosion,"On 06th June 2020 around 10h45, while MT G. DONA 1 at anchorage Lomé roads
one crew member ( chief engineer )when conducting his routine watch on deck
heard a sudden explosion inside the cargo tank No 3 starboard followed by
fire .
On 06th June 2020 around 10h50 Togo Navy has been informed about the
accident. He instructed MV WHARF 1, STAR 3 and patrol boat in the vicinity to
give assistance to G. DONA 1.
On 06th June 2020 around 11h30 the fire has been controlled by G. DONA 1
crew members by using portative fire extinguishers .
On 06th June 2020 around 11h45 , MV WHARF 1 and STAR 3 were alongside
G.DONA 1 for assistance .
On 06th June 2020 around 12h00 Togo Navy authorities arrived on board
G.DONA 1 for investigations.
On 06th June 2020 around 13h35 the situation was under control by the crew and
any assistance was finished .
",Chemical Tanker,Ship rendered unfit to proceed,992,,1433,,,,,[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],[Primary Annex 2 not designated],8/6/20,
